sample_id,cnt_ratio,lig_ratio,graphene_ratio,mxene_ratio,pedot_ratio,base_conductivity,synergy_binary,synergy_ternary,synergy_quaternary,synergy_quinary,total_synergy,composite_conductivity,method,source
Q5-0.12-0.12-0.12-0.12-0.50,0.125,0.125,0.125,0.125,0.5,262750.0,0.9091587473108358,0.0024609375,0.00011718750000000001,0.00091552734375,1.9126523996545857,515030.58843487984,Quinary Composite,Simulated
Q5-0.12-0.12-0.12-0.25-0.38,0.125,0.125,0.125,0.25,0.375,269000.0,0.84335705701202,0.0032421875,0.00018554687500000003,0.0013732910156249998,1.8481580824026451,493717.58802341414,Quinary Composite,Simulated
Q5-0.12-0.12-0.12-0.38-0.25,0.125,0.125,0.125,0.375,0.25,275250.0,0.7489867140284555,0.0033203125,0.00020507812500000002,0.0013732910156249998,1.7538853956690805,498390.762485123,Quinary Composite,Simulated
Q5-0.12-0.12-0.12-0.50-0.12,0.125,0.125,0.125,0.5,0.125,281500.0,0.6834001538227757,0.0026953125000000002,0.00017578125,0.00091552734375,1.6871867749165257,511110.70146785193,Quinary Composite,Simulated
Q5-0.12-0.12-0.25-0.12-0.38,0.125,0.125,0.25,0.125,0.375,386500.0,0.6917452688724339,0.0028515625,0.00018554687500000003,0.0013732910156249998,1.696155669263059,647889.0380773505,Quinary Composite,Simulated
Q5-0.12-0.12-0.25-0.25-0.25,0.125,0.125,0.25,0.25,0.25,392750.0,0.932617602380199,0.0036718750000000002,0.0002734375,0.0018310546875,1.938393969567699,752391.758743358,Quinary Composite,Simulated
Q5-0.12-0.12-0.25-0.38-0.12,0.125,0.125,0.25,0.375,0.125,399000.0,0.6527666406973336,0.0034765625,0.000263671875,0.0013732910156249998,1.6578801660879585,713726.1910860848,Quinary Composite,Simulated
Q5-0.12-0.12-0.38-0.12-0.25,0.125,0.125,0.375,0.125,0.25,510250.0,0.6137185328315018,0.0029296875,0.00020507812500000002,0.0013732910156249998,1.6182265894721268,857383.664571397,Quinary Composite,Simulated
Q5-0.12-0.12-0.38-0.25-0.12,0.125,0.125,0.375,0.25,0.125,516500.0,0.669110247639966,0.0034765625,0.000263671875,0.0013732910156249998,1.674223773030591,844437.9950546162,Quinary Composite,Simulated
Q5-0.12-0.12-0.50-0.12-0.12,0.125,0.125,0.5,0.125,0.125,634000.0,0.6864031886276515,0.0026953125000000002,0.00017578125,0.00091552734375,1.6901898097214016,1100650.1731449114,Quinary Composite,Simulated
