sample_id,P_W,v_mms,E_Jcm2,co_ratio,precursor,sigma_Sm,ssa_m2g,id_ig,method,uncertainty,notes,date,source,laser_type,wavelength_um,atmosphere,temperature_C,raman_id_ig
LIT-011,0.42,18,23.33,3.3,PI,4200,450,1.5,4-probe,±5%,Very high conductivity,2026-03-06,literature_batch2,CO2,10.6,Air,25,1.4249999999999998
LIT-012,0.38,20,19.0,3.3,PI,3900,490,1.4,4-probe,±5%,High power,2026-03-06,literature_batch2,CO2,10.6,Air,25,1.3299999999999998
LIT-013,0.4,22,18.18,3.3,PI,3700,500,1.35,4-probe,±6%,Optimized,2026-03-06,literature_batch2,CO2,10.6,Air,25,1.2825
LIT-014,0.32,28,11.43,3.3,PI,2700,590,1.1,4-probe,±6%,Balanced,2026-03-06,literature_batch2,CO2,10.6,Air,25,1.045
LIT-015,0.29,33,8.79,3.3,PI,2300,640,0.95,4-probe,±7%,Medium power,2026-03-06,literature_batch2,CO2,10.6,Air,25,0.9025
LIT-016,0.33,30,11.0,3.3,PI,2600,600,1.05,4-probe,±6%,Standard,2026-03-06,literature_batch2,CO2,10.6,Air,25,0.9974999999999999
LIT-017,0.31,35,8.86,3.3,PI,2400,650,0.92,4-probe,±7%,Higher speed,2026-03-06,literature_batch2,CO2,10.6,Air,25,0.874
LIT-018,0.22,45,4.89,3.3,PI,1400,800,0.7,4-probe,±10%,Low power,2026-03-06,literature_batch2,CO2,10.6,Air,25,0.6649999999999999
LIT-019,0.18,55,3.27,3.3,PI,1000,950,0.55,4-probe,±12%,Very low power,2026-03-06,literature_batch2,CO2,10.6,Air,25,0.5225
LIT-020,0.2,50,4.0,3.3,PI,1150,900,0.6,4-probe,±11%,Low power high SSA,2026-03-06,literature_batch2,CO2,10.6,Air,25,0.57
LIT-021,0.35,28,12.5,2.5,PET,2100,680,1.2,4-probe,±8%,PET precursor,2026-03-06,literature_batch2,CO2,10.6,Air,25,1.14
LIT-022,0.3,32,9.38,0.9,Wood,1600,1050,1.0,4-probe,±10%,"Wood, natural",2026-03-06,literature_batch2,CO2,10.6,Air,25,0.95
LIT-023,0.32,30,10.67,0.9,Paper,1700,980,1.05,4-probe,±10%,Paper precursor,2026-03-06,literature_batch2,CO2,10.6,Air,25,0.9974999999999999
LIT-024,0.36,26,13.85,3.3,PI,3100,560,1.25,4-probe,±6%,High quality PI,2026-03-06,literature_batch2,CO2,10.6,Air,25,1.1875
LIT-025,0.34,29,11.72,3.3,PI,2850,575,1.15,4-probe,±6%,Standard PI,2026-03-06,literature_batch2,CO2,10.6,Air,25,1.0924999999999998
