sample_id,P_W,v_mms,E_Jcm2,co_ratio,precursor,sigma_Sm,ssa_m2g,id_ig,method,uncertainty,notes,date,source,laser_type,wavelength_um,atmosphere,temperature_C,raman_id_ig
LIT-026,0.48,15,32.0,3.3,PI,4500,420,1.6,4-probe,±5%,Ultra-high conductivity,2026-03-06,literature_batch3,CO2,10.6,Air,25,1.52
LIT-027,0.45,16,28.13,3.3,PI,4300,440,1.55,4-probe,±5%,Very high power,2026-03-06,literature_batch3,CO2,10.6,Air,25,1.4725
LIT-028,0.5,18,27.78,3.3,PI,4100,460,1.5,4-probe,±6%,High power density,2026-03-06,literature_batch3,CO2,10.6,Air,25,1.4249999999999998
LIT-029,0.4,24,16.67,3.3,PI,3600,520,1.3,4-probe,±6%,High conductivity,2026-03-06,literature_batch3,CO2,10.6,Air,25,1.2349999999999999
LIT-030,0.42,26,16.15,3.3,PI,3400,540,1.28,4-probe,±6%,Optimized high,2026-03-06,literature_batch3,CO2,10.6,Air,25,1.216
LIT-031,0.38,25,15.2,3.3,PI,3300,550,1.25,4-probe,±6%,Balanced high,2026-03-06,literature_batch3,CO2,10.6,Air,25,1.1875
LIT-032,0.35,32,10.94,3.3,PI,2650,610,1.08,4-probe,±7%,Medium-high,2026-03-06,literature_batch3,CO2,10.6,Air,25,1.026
LIT-033,0.33,34,9.71,3.3,PI,2450,640,0.98,4-probe,±7%,Medium,2026-03-06,literature_batch3,CO2,10.6,Air,25,0.9309999999999999
LIT-034,0.36,31,11.61,3.3,PI,2750,595,1.12,4-probe,±6%,Medium optimized,2026-03-06,literature_batch3,CO2,10.6,Air,25,1.064
LIT-035,0.24,48,5.0,3.3,PI,1550,780,0.72,4-probe,±9%,Low power,2026-03-06,literature_batch3,CO2,10.6,Air,25,0.6839999999999999
LIT-036,0.19,58,3.28,3.3,PI,1050,920,0.58,4-probe,±11%,Very low power,2026-03-06,literature_batch3,CO2,10.6,Air,25,0.5509999999999999
LIT-037,0.21,52,4.04,3.3,PI,1250,870,0.62,4-probe,±10%,Low high SSA,2026-03-06,literature_batch3,CO2,10.6,Air,25,0.589
LIT-038,0.38,27,14.07,2.5,PET,2350,660,1.18,4-probe,±8%,PET optimized,2026-03-06,literature_batch3,CO2,10.6,Air,25,1.121
LIT-039,0.33,31,10.65,0.9,Bamboo,1750,1020,1.02,4-probe,±9%,Bamboo natural,2026-03-06,literature_batch3,CO2,10.6,Air,25,0.969
LIT-040,0.37,28,13.21,3.3,PI,3000,570,1.2,4-probe,±6%,Standard PI high,2026-03-06,literature_batch3,CO2,10.6,Air,25,1.14
